Company,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker
DJI,10/18/21,35221.01953,35327.57031,35035.94141,35258.60938,312640000,0,0,^DJI
DJI,10/19/21,35325.37109,35462.67969,35290.12109,35457.30859,278510000,0,0,^DJI
DJI,10/20/21,35475.16016,35669.69141,35465.71094,35609.33984,265750000,0,0,^DJI
DJI,10/21/21,35520.32031,35612.35938,35442.53125,35603.07813,298390000,0,0,^DJI
DJI,10/22/21,35607.71875,35765.01953,35533.94922,35677.01953,346290000,0,0,^DJI
DJI,10/23/21,35607.71875,35765.01953,35533.94922,35677.01953,346290000,0,0,^DJI
DJI,10/24/21,35607.71875,35765.01953,35533.94922,35677.01953,346290000,0,0,^DJI
DJI,10/25/21,35692.62109,35787.03906,35629.37109,35741.14844,267220000,0,0,^DJI
DJI,10/26/21,35791.05078,35892.92188,35734.73047,35756.87891,321910000,0,0,^DJI
DJI,10/27/21,35835.42969,35835.42969,35490.42969,35490.69141,354180000,0,0,^DJI
DJI,10/28/21,35545.41016,35742.25,35545.41016,35730.48047,337400000,0,0,^DJI
DJI,10/29/21,35712.28125,35852.53125,35633.19922,35819.55859,399400000,0,0,^DJI
DJI,10/30/21,35712.28125,35852.53125,35633.19922,35819.55859,399400000,0,0,^DJI
DJI,10/31/21,35712.28125,35852.53125,35633.19922,35819.55859,399400000,0,0,^DJI
DJI,11/1/21,35833.64844,36009.73828,35797.96875,35913.83984,292880000,0,0,^DJI
DJI,11/2/21,35935.10938,36088.80859,35884.12891,36052.62891,304510000,0,0,^DJI
DJI,11/3/21,36059.08984,36178.51172,35891.73047,36157.57813,262540000,0,0,^DJI
DJI,11/4/21,36107.46094,36168.03125,35986.48047,36124.23047,307640000,0,0,^DJI
DJI,11/5/21,36268.75,36484.75,36190.19922,36327.94922,344600000,0,0,^DJI
DJI,11/6/21,36268.75,36484.75,36190.19922,36327.94922,344600000,0,0,^DJI
DJI,11/7/21,36268.75,36484.75,36190.19922,36327.94922,344600000,0,0,^DJI
DJI,11/8/21,36416.46094,36565.73047,36334.42188,36432.21875,284400000,0,0,^DJI
DJI,11/9/21,36404.53125,36416.98047,36173.07031,36319.98047,258020000,0,0,^DJI
DJI,11/10/21,36299.25,36346.60938,36009.5,36079.94141,278390000,0,0,^DJI
DJI,11/11/21,36038.78125,36108.17188,35915.26953,35921.23047,270320000,0,0,^DJI
DJI,11/12/21,35963.78125,36147.62891,35934.58984,36100.30859,293180000,0,0,^DJI
S&P 500,10/18/21,4463.720215,4488.75,4447.470215,4486.459961,2683540000,0,0,^GSPC
S&P 500,10/19/21,4497.339844,4520.399902,4496.410156,4519.629883,2531210000,0,0,^GSPC
S&P 500,10/20/21,4524.419922,4540.870117,4524.399902,4536.189941,2671560000,0,0,^GSPC
S&P 500,10/21/21,4532.240234,4551.439941,4526.890137,4549.779785,3016950000,0,0,^GSPC
S&P 500,10/22/21,4546.120117,4559.669922,4524,4544.899902,3062810000,0,0,^GSPC
S&P 500,10/23/21,4546.120117,4559.669922,4524,4544.899902,3062810000,0,0,^GSPC
S&P 500,10/24/21,4546.120117,4559.669922,4524,4544.899902,3062810000,0,0,^GSPC
S&P 500,10/25/21,4553.689941,4572.620117,4537.359863,4566.47998,3250210000,0,0,^GSPC
S&P 500,10/26/21,4578.689941,4598.529785,4569.169922,4574.790039,2866500000,0,0,^GSPC
S&P 500,10/27/21,4580.220215,4584.569824,4551.660156,4551.680176,3259510000,0,0,^GSPC
S&P 500,10/28/21,4562.839844,4597.549805,4562.839844,4596.419922,3197560000,0,0,^GSPC
S&P 500,10/29/21,4572.870117,4608.080078,4567.589844,4605.379883,3632260000,0,0,^GSPC
S&P 500,10/30/21,4572.870117,4608.080078,4567.589844,4605.379883,3632260000,0,0,^GSPC
S&P 500,10/31/21,4572.870117,4608.080078,4567.589844,4605.379883,3632260000,0,0,^GSPC
S&P 500,11/1/21,4610.620117,4620.339844,4595.060059,4613.669922,2924000000,0,0,^GSPC
S&P 500,11/2/21,4613.339844,4635.149902,4613.339844,4630.649902,3309690000,0,0,^GSPC
S&P 500,11/3/21,4630.649902,4663.459961,4621.189941,4660.569824,3339440000,0,0,^GSPC
S&P 500,11/4/21,4662.930176,4683,4662.589844,4680.060059,3332940000,0,0,^GSPC
S&P 500,11/5/21,4699.259766,4718.5,4681.319824,4697.529785,3491150000,0,0,^GSPC
S&P 500,11/6/21,4699.259766,4718.5,4681.319824,4697.529785,3491150000,0,0,^GSPC
S&P 500,11/7/21,4699.259766,4718.5,4681.319824,4697.529785,3491150000,0,0,^GSPC
S&P 500,11/8/21,4701.47998,4714.919922,4694.390137,4701.700195,3465720000,0,0,^GSPC
S&P 500,11/9/21,4707.25,4708.529785,4670.870117,4685.25,3110230000,0,0,^GSPC
S&P 500,11/10/21,4670.259766,4684.850098,4630.859863,4646.709961,3581630000,0,0,^GSPC
S&P 500,11/11/21,4659.390137,4664.549805,4648.310059,4649.27002,2623140000,0,0,^GSPC
S&P 500,11/12/21,4655.240234,4688.470215,4650.77002,4682.850098,2865790000,0,0,^GSPC
NASDAQ,10/18/21,14839.74023,15026.67969,14833.28027,15021.80957,4142540000,0,0,^IXIC
NASDAQ,10/19/21,15073.12988,15137.84961,15049.73047,15129.08984,4443000000,0,0,^IXIC
NASDAQ,10/20/21,15160,15178.38965,15071.15039,15121.67969,4086590000,0,0,^IXIC
NASDAQ,10/21/21,15104.79981,15222.25,15094.13965,15215.7002,4880390000,0,0,^IXIC
NASDAQ,10/22/21,15158.07031,15193.00977,15021.01953,15090.2002,5719760000,0,0,^IXIC
NASDAQ,10/23/21,15158.07031,15193.00977,15021.01953,15090.2002,5719760000,0,0,^IXIC
NASDAQ,10/24/21,15158.07031,15193.00977,15021.01953,15090.2002,5719760000,0,0,^IXIC
NASDAQ,10/25/21,15142.91992,15259.62988,15070.75,15226.70996,5677320000,0,0,^IXIC
NASDAQ,10/26/21,15317.5,15384,15198.23047,15235.70996,7035470000,0,0,^IXIC
NASDAQ,10/27/21,15276,15364.54004,15235.83984,15235.83984,6083210000,0,0,^IXIC
NASDAQ,10/28/21,15304.74023,15452.29981,15290.30957,15448.12012,5660240000,0,0,^IXIC
NASDAQ,10/29/21,15323.29004,15504.12012,15323.29004,15498.38965,5310370000,0,0,^IXIC
NASDAQ,10/30/21,15323.29004,15504.12012,15323.29004,15498.38965,5310370000,0,0,^IXIC
NASDAQ,10/31/21,15323.29004,15504.12012,15323.29004,15498.38965,5310370000,0,0,^IXIC
NASDAQ,11/1/21,15541.25977,15598.9502,15470.82031,15595.91992,5239250000,0,0,^IXIC
NASDAQ,11/2/21,15583.98047,15656.59961,15569.26953,15649.59961,5118540000,0,0,^IXIC
NASDAQ,11/3/21,15658.51953,15821.57031,15616.44043,15811.58008,5274520000,0,0,^IXIC
